ID,Name,Date,Time,Event,Status,Latitude,Longitude,Maximum Wind,Minimum Pressure,Low Wind NE,Low Wind SE,Low Wind SW,Low Wind NW,Moderate Wind NE,Moderate Wind SE,Moderate Wind SW,Moderate Wind NW,High Wind NE,High Wind SE,High Wind SW,High Wind NW
EP011949,UNNAMED,1949-06-11,0,NULL,TS,20.2,-106.3,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP011949,UNNAMED,1949-06-11,600,NULL,TS,20.2,-106.4,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP011949,UNNAMED,1949-06-11,1200,NULL,TS,20.2,-106.7,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP011949,UNNAMED,1949-06-11,1800,NULL,TS,20.3,-107.7,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP011949,UNNAMED,1949-06-12,0,NULL,TS,20.4,-108.6,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP011949,UNNAMED,1949-06-12,600,NULL,TS,20.5,-109.4,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP011949,UNNAMED,1949-06-12,1200,NULL,TS,20.6,-110.2,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP021949,UNNAMED,1949-06-17,1200,NULL,TS,14.1,-107.0,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP021949,UNNAMED,1949-06-17,1800,NULL,TS,14.6,-107.7,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP021949,UNNAMED,1949-06-18,0,NULL,TS,15.0,-108.4,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP021949,UNNAMED,1949-06-18,600,NULL,TS,15.4,-109.2,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP021949,UNNAMED,1949-06-18,1200,NULL,TS,15.7,-110.0,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP021949,UNNAMED,1949-06-18,1800,NULL,TS,16.0,-110.8,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP021949,UNNAMED,1949-06-19,0,NULL,TS,16.3,-111.6,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP021949,UNNAMED,1949-06-19,600,NULL,TS,16.7,-112.3,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP021949,UNNAMED,1949-06-19,1200,NULL,TS,17.1,-112.9,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP021949,UNNAMED,1949-06-19,1800,NULL,TS,17.5,-113.5,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP021949,UNNAMED,1949-06-20,0,NULL,TS,18.0,-114.1,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP021949,UNNAMED,1949-06-20,600,NULL,TS,18.4,-114.6,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP021949,UNNAMED,1949-06-20,1200,NULL,TS,18.9,-115.1,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP021949,UNNAMED,1949-06-20,1800,NULL,TS,19.4,-115.6,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP021949,UNNAMED,1949-06-21,0,NULL,TS,19.9,-116.0,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP021949,UNNAMED,1949-06-21,600,NULL,TS,20.4,-116.4,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP021949,UNNAMED,1949-06-21,1200,NULL,TS,21.0,-116.7,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP021949,UNNAMED,1949-06-21,1800,NULL,TS,21.5,-117.1,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP021949,UNNAMED,1949-06-22,0,NULL,TS,22.0,-117.5,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP021949,UNNAMED,1949-06-22,600,NULL,TS,22.5,-117.8,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP021949,UNNAMED,1949-06-22,1200,NULL,TS,23.1,-118.0,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP021949,UNNAMED,1949-06-22,1800,NULL,TS,23.9,-118.0,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP021949,UNNAMED,1949-06-23,0,NULL,TS,24.7,-117.7,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP021949,UNNAMED,1949-06-23,600,NULL,TS,25.4,-117.4,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
